aligned_effect,alpha,base_ordered_score,basis_domain,basis_train_kind,basis_train_n_items,basis_train_n_pairs,basis_train_n_prompts,delta_domain,delta_norm,direction_match,effect,expected_sign,full_size_aligned_effect,layer,match_abs_error,match_mode,max_principal_angle_deg,method,patch_site,patched_entropy,patched_ordered_score,projected_delta_norm,projected_norm_fraction,rank,recovery_vs_size_full,repeat,size_delta_raw,size_delta_z,size_direction,size_donor_side,size_pair_id,size_recv_side,source_match_delta_raw,source_match_delta_z,source_match_direction,source_match_domain,source_match_pair_id,subspace_overlap_with_size
-0.0,1.0,1.4880887896397976,size_in_domain,state_prompts,62,51,62,size,0.0,0,0.0,-1.0,0.2330711918172077,20,0.0052540985499607284,domain_z,0.0,sham,final_prompt_token,0.7569959788413058,1.4880887896397976,0.0,0.0,0,-0.0,0,-1.3862943611198906,-1.462266040419158,b_to_a,b,size-v2-iso_ratio-p0045-Scale_class_30_objects-vs-Scale_class_120_objects,a,-98.0,-1.4675201389691188,a_to_b,temperature,temp-v1_2-p025-freshly_served_tea-vs-freezer_air,1.0
0.2585236667515447,1.0,1.4880887896397976,size_in_domain,state_prompts,62,51,62,size,1132.603515625,1,-0.2585236667515447,-1.0,0.2330711918172077,20,0.0052540985499607284,domain_z,0.0,size_basis_pca,final_prompt_token,0.5692011084887001,1.229565122888253,733.8408203125,0.647923841122414,5,1.1092047229685031,0,-1.3862943611198906,-1.462266040419158,b_to_a,b,size-v2-iso_ratio-p0045-Scale_class_30_objects-vs-Scale_class_120_objects,a,-98.0,-1.4675201389691188,a_to_b,temperature,temp-v1_2-p025-freshly_served_tea-vs-freezer_air,1.0
0.2431543293123879,1.0,1.3988998367721335,size_in_domain,state_prompts,62,51,62,size,982.1026000976562,1,0.2431543293123879,1.0,0.2431543293123879,20,0.09772931959856024,domain_z,0.0,full_size,final_prompt_token,0.7286225142178683,1.6420541660845214,982.1026000976562,1.0,2560,1.0,0,2.079441541679836,2.1933990606287375,a_to_b,a,size-v2-iso_ratio-p0045-Scale_class_30_objects-vs-Scale_class_240_objects,b,153.0,2.2911283802272977,a_to_b,temperature,temp-v1_2-p015-swimming_pool_water-vs-heated_oven_air,1.0
0.0,1.0,1.3988998367721335,size_in_domain,state_prompts,62,51,62,size,0.0,0,0.0,1.0,0.2431543293123879,20,0.09772931959856024,domain_z,0.0,sham,final_prompt_token,0.7289701154025593,1.3988998367721335,0.0,0.0,0,0.0,0,2.079441541679836,2.1933990606287375,a_to_b,a,size-v2-iso_ratio-p0045-Scale_class_30_objects-vs-Scale_class_240_objects,b,153.0,2.2911283802272977,a_to_b,temperature,temp-v1_2-p015-swimming_pool_water-vs-heated_oven_air,1.0
0.19979457423300961,1.0,1.3988998367721335,size_in_domain,state_prompts,62,51,62,size,982.1026000976562,1,0.19979457423300961,1.0,0.2431543293123879,20,0.09772931959856024,domain_z,0.0,size_basis_pca,final_prompt_token,0.7478357624200965,1.598694411005143,410.26507568359375,0.4177415635014088,5,0.8216780461939764,0,2.079441541679836,2.1933990606287375,a_to_b,a,size-v2-iso_ratio-p0045-Scale_class_30_objects-vs-Scale_class_240_objects,b,153.0,2.2911283802272977,a_to_b,temperature,temp-v1_2-p015-swimming_pool_water-vs-heated_oven_air,1.0
0.18503284716654256,1.0,1.4880887896397976,size_in_domain,state_prompts,62,51,62,size,982.1026000976562,1,-0.18503284716654256,-1.0,0.18503284716654256,20,0.09772931959856024,domain_z,0.0,full_size,final_prompt_token,0.6578338143041584,1.303055942473255,982.1026000976562,1.0,2560,1.0,0,-2.079441541679836,-2.1933990606287375,b_to_a,b,size-v2-iso_ratio-p0045-Scale_class_30_objects-vs-Scale_class_240_objects,a,-153.0,-2.2911283802272977,b_to_a,temperature,temp-v1_2-p015-swimming_pool_water-vs-heated_oven_air,1.0
-0.0,1.0,1.4880887896397976,size_in_domain,state_prompts,62,51,62,size,0.0,0,0.0,-1.0,0.18503284716654256,20,0.09772931959856024,domain_z,0.0,sham,final_prompt_token,0.7569959788413058,1.4880887896397976,0.0,0.0,0,-0.0,0,-2.079441541679836,-2.1933990606287375,b_to_a,b,size-v2-iso_ratio-p0045-Scale_class_30_objects-vs-Scale_class_240_objects,a,-153.0,-2.2911283802272977,b_to_a,temperature,temp-v1_2-p015-swimming_pool_water-vs-heated_oven_air,1.0
0.20128489174411213,1.0,1.4880887896397976,size_in_domain,state_prompts,62,51,62,size,982.1026000976562,1,-0.20128489174411213,-1.0,0.18503284716654256,20,0.09772931959856024,domain_z,0.0,size_basis_pca,final_prompt_token,0.6412335080468154,1.2868038978956855,410.26507568359375,0.4177415635014088,5,1.0878332946092624,0,-2.079441541679836,-2.1933990606287375,b_to_a,b,size-v2-iso_ratio-p0045-Scale_class_30_objects-vs-Scale_class_240_objects,a,-153.0,-2.2911283802272977,b_to_a,temperature,temp-v1_2-p015-swimming_pool_water-vs-heated_oven_air,1.0
-0.0050224498328772516,1.0,1.260793807928984,size_in_domain,state_prompts,62,51,62,size,951.3394165039062,0,-0.0050224498328772516,1.0,-0.0050224498328772516,20,0.0572717319074324,domain_z,0.0,full_size,final_prompt_token,0.5963695951767437,1.2557713580961067,951.3394165039062,1.0,2560,1.0,0,0.6931471805599453,0.7311330202095789,a_to_b,a,size-v2-iso_ratio-p0045-Scale_class_60_objects-vs-Scale_class_120_objects,b,45.0,0.6738612883021465,b_to_a,temperature,temp-v1_2-m030-swimming_pool_water-vs-freezer_air,1.0
0.0,1.0,1.260793807928984,size_in_domain,state_prompts,62,51,62,size,0.0,0,0.0,1.0,-0.0050224498328772516,20,0.0572717319074324,domain_z,0.0,sham,final_prompt_token,0.6072468879943037,1.260793807928984,0.0,0.0,0,-0.0,0,0.6931471805599453,0.7311330202095789,a_to_b,a,size-v2-iso_ratio-p0045-Scale_class_60_objects-vs-Scale_class_120_objects,b,45.0,0.6738612883021465,b_to_a,temperature,temp-v1_2-m030-swimming_pool_water-vs-freezer_air,1.0
