abs_delta_rho,aligned_effect,bin,bin_hi,bin_lo,direction,direction_match,full_aligned_effect,pair_id,patch_fraction,recovery_vs_full,transfer_direction
0.6931471805599453,0.2572489165553884,1,1.3862943611198906,0.26570316573300556,a_to_b,1,0.27489270881802397,size-v2-iso_ratio-p0045-Scale_class_60_objects-vs-Scale_class_30_objects,0.7617698216039962,0.9358157139252625,fictional_to_iso
0.6931471805599453,0.23668966395189117,1,1.3862943611198906,0.26570316573300556,b_to_a,1,0.2279824318898349,size-v2-iso_ratio-p0045-Scale_class_60_objects-vs-Scale_class_30_objects,0.700889416750258,1.0381925571627544,fictional_to_iso
1.3862943611198906,0.20255560666299632,2,2.0794415416798357,1.3862943611198906,a_to_b,1,0.21005768981312878,size-v2-iso_ratio-p0045-Scale_class_30_objects-vs-Scale_class_120_objects,0.8911574076048318,0.9642856057457052,fictional_to_iso
1.3862943611198906,0.2585236667515447,2,2.0794415416798357,1.3862943611198906,b_to_a,1,0.2330711918172077,size-v2-iso_ratio-p0045-Scale_class_30_objects-vs-Scale_class_120_objects,1.1373927607449916,1.1092047229685031,fictional_to_iso
2.079441541679836,0.19979457423300961,3,3.828641396489095,2.0794415416798357,a_to_b,1,0.2431543293123879,size-v2-iso_ratio-p0045-Scale_class_30_objects-vs-Scale_class_240_objects,2.2401269194118547,0.8216780461939764,fictional_to_iso
2.079441541679836,0.20128489174411213,3,3.828641396489095,2.0794415416798357,b_to_a,1,0.18503284716654256,size-v2-iso_ratio-p0045-Scale_class_30_objects-vs-Scale_class_240_objects,2.256836584265907,1.0878332946092624,fictional_to_iso
0.6931471805599453,0.007959758016350182,1,1.3862943611198906,0.26570316573300556,a_to_b,1,-0.0050224498328772516,size-v2-iso_ratio-p0045-Scale_class_60_objects-vs-Scale_class_120_objects,0.07209662505041461,-1.5848357437530065,fictional_to_iso
0.6931471805599453,-0.000604362805320946,1,1.3862943611198906,0.26570316573300556,b_to_a,0,-0.02471406677592558,size-v2-iso_ratio-p0045-Scale_class_60_objects-vs-Scale_class_120_objects,-0.005474100906100213,0.024454202976811033,fictional_to_iso
1.3862943611198908,-0.04496833147856316,2,2.0794415416798357,1.3862943611198906,a_to_b,0,-0.0513044512672145,size-v2-iso_ratio-p0045-Scale_class_240_objects-vs-Scale_class_60_objects,-0.1809517551676941,0.8764996090563323,fictional_to_iso
1.3862943611198908,-0.04833634593307434,2,2.0794415416798357,1.3862943611198906,b_to_a,0,-0.03867747567668678,size-v2-iso_ratio-p0045-Scale_class_240_objects-vs-Scale_class_60_objects,-0.19450458461311154,1.249728558738634,fictional_to_iso
1.3862943611198906,0.28179364480606717,2,2.0794415416798357,1.3862943611198906,a_to_b,1,0.24074628310387824,size-v2-iso_ratio-p0060-Scale_class_120_objects-vs-Scale_class_30_objects,1.0589005561769391,1.1705005002485445,fictional_to_iso
1.3862943611198906,0.23934061164820553,2,2.0794415416798357,1.3862943611198906,b_to_a,1,0.25883075997282456,size-v2-iso_ratio-p0060-Scale_class_120_objects-vs-Scale_class_30_objects,0.8993741039278292,0.9246992578213449,fictional_to_iso
2.0794415416798357,0.23552272938640306,3,3.828641396489095,2.0794415416798357,a_to_b,1,0.23678482944026413,size-v2-iso_ratio-p0060-Scale_class_240_objects-vs-Scale_class_30_objects,1.327108278612813,0.9946698441076459,fictional_to_iso
2.0794415416798357,0.26046640618688777,3,3.828641396489095,2.0794415416798357,b_to_a,1,0.3254793770389959,size-v2-iso_ratio-p0060-Scale_class_240_objects-vs-Scale_class_30_objects,1.4676592991754878,0.8002547152340197,fictional_to_iso
0.6931471805599454,0.03150146684742783,1,1.3862943611198906,0.26570316573300556,a_to_b,1,0.029763146690680697,size-v2-iso_ratio-p0090-Scale_class_60_objects-vs-Scale_class_30_objects,3.2544212237993597,1.058405120090727,fictional_to_iso
0.6931471805599454,0.033305539566835574,1,1.3862943611198906,0.26570316573300556,b_to_a,1,0.026506372131936518,size-v2-iso_ratio-p0090-Scale_class_60_objects-vs-Scale_class_30_objects,3.440800244679697,1.2565106760388005,fictional_to_iso
1.3862943611198908,0.2767987291452869,2,2.0794415416798357,1.3862943611198906,a_to_b,1,0.2797337662277255,size-v2-iso_ratio-p0090-Scale_class_120_objects-vs-Scale_class_30_objects,0.8063817718636384,0.9895077483064764,fictional_to_iso
1.3862943611198908,0.28848512418420436,2,2.0794415416798357,1.3862943611198906,b_to_a,1,0.2889612141127105,size-v2-iso_ratio-p0090-Scale_class_120_objects-vs-Scale_class_30_objects,0.8404270724590553,0.9983524088865421,fictional_to_iso
